TIC ID,CTOI,MASTER,SG1A,SG1B,SG2,SG3,SG4,SG5,User Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr).1,Midpoint (BJD),Midpoint err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Duration (hrs) Error,Inclination (deg),Inclination (deg) Error,Impact Param,Impact Param Error,Rad_p/Rad_s,Rad_p/Rad_s Error,a/Rad_s,a/Rad_s Error,Radius (R_Earth),Radius (R_Earth) Error,Mass (M_Earth),Mass (M_Earth) Error,Insolation (Earth Flux),Insolation (Earth Flux) Error,Equilibrium Temp (K),Equilibrium Temp (K) Error,Fitted Stellar Density (g/cm^3),Fitted Stellar Density (g/cm^3) Error,Semi-Major Axis (AU),Semi-Major Axis (AU) Error,Eccentricity,Eccentricity (Error),Arg of Periastron,Arg of Periastron Error,Time of Periastron (BJD),Time of Periastron (BJD) Error,Velocity Semi-amp (m/s),Velocity Semi-amp (m/s) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,CTOI lastmod,User,Group,Tag,Notes
7422496,7422496.01,,,,,,,,PC,,8.7601,0.006,81.348892,-44.431284999999995,-44.098,0.042,-110.32799999999999,0.051,2458470.3540000003,0.05,0.0,,0.760281,0.32577,700.0,300.0,5.9,1.0,,,,,,,,,2.4,1.0,,,,,,,,,,,,,,,,,,,69.6026,0.1272,5744.0,117.134,4.56261,0.07619730000000001,0.8793209999999999,0.041386900000000004,2020-01-24 10:25:52,eisner,,15948,Planet Hunters TESS candidate. Single transit event.
8963901,8963901.01,,,,,,,,PC,,11.2163,0.015,354.637088,-9.318778,9.894,0.091,-8.363,0.057,2458354.2775,,0.4847222,,157.14947,,134752.78132188198,,1.8666666666666698,,,,,,,,,,200.837113505247,,,,,,,,,,,,,,,,,,,,1465.31,107.12,6515.0,100.0,,,5.01577,,2019-12-29 08:24:43,lipponen,,8409,new CTOI
10747470,10747470.01,,,,,,,,PC,,9.725769999999999,0.006,212.25280899999998,51.086496000000004,-31.581999999999997,0.034,17.487000000000002,0.037000000000000005,2458739.4155,,1.977093,0.00023799999999999998,0.292863,0.022040999999999998,269.7,20.3,2.0669999999999997,0.107,,,,,,,,,3.78,0.14,,,4457.0,,2082.0,,,,0.0342,,,,,,,,,,275.69,2.103,6176.61,129.695,3.90825,0.08594210000000001,1.9991700000000001,0.0960829,2020-01-02 17:30:45,damboiu,,8505,"Short period Neptune around a subgiant, low s2n"
24725031,24725031.01,,,,,,,,FP,,7.35422,0.006,81.51740799999999,-10.757758,-10.45,0.14,-1.949,0.122,2458438.44,0.001,0.53299,0.00015,4.133657,,3800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.08599999999998,3.859,12818.0,150.0,,,,,2019-09-13 13:41:57,earley,,5650,Eclipsing binary candidate in Pisces-Eridanus stellar stream
25078924,25078924.01,,,,,,,,PC,,10.705,0.006,60.930974,-65.972806,6.015,0.049,18.104,0.049,2458325.5091,,0.9097221999999999,,16.723865,,15285.2256555255,,1.5666666666666698,,,,,,,,,,14.434011815694001,,,,,,,,,,,,,,,,,,,,228.49200000000002,1.4215,5737.0,131.98,4.2756300000000005,0.0745082,1.21763,0.0589447,2019-08-02 00:39:26,lipponen,,5065,sector1
25078924,25078924.02,,,,,,,,PC,,10.705,0.006,60.930974,-65.972806,6.015,0.049,18.104,0.049,2458325.9605,,0.9034722,,67.67607199999999,,60429.0706446056,,1.7,,,,,,,,,,28.6994838889778,,,,,,,,,,,,,,,,,,,,228.49200000000002,1.4215,5737.0,131.98,4.2756300000000005,0.0745082,1.21763,0.0589447,2019-08-02 00:39:26,lipponen,,5065,sector1
25226885,25226885.01,,,,,,,,PC,,11.9329,0.006999999999999999,326.957969,-20.235107,1.6380000000000001,0.08,-12.488,0.08,2458325.8415,,1.63125,,2333.4082489999996,,883416.604382057,,2.56666666666667,,,,,,,,,,41.1147235452682,,,,,,,,,,,,,,,,,,,,578.1669999999999,17.6165,6222.0,132.256,4.14893,0.0860199,1.5281200000000001,0.08316339999999998,2019-06-06 03:40:31,lipponen,,3787,sector1
25226885,25226885.02,,,,,,,,PC,,11.9329,0.006999999999999999,326.957969,-20.235107,1.6380000000000001,0.08,-12.488,0.08,2458326.661,,1.630556,,4529.902496,,984581.610895565,,2.56666666666667,,,,,,,,,,14.951973716145,,,,,,,,,,,,,,,,,,,,578.1669999999999,17.6165,6222.0,132.256,4.14893,0.0860199,1.5281200000000001,0.08316339999999998,2019-06-06 03:40:31,lipponen,,3787,sector1
25314899,25314899.01,,,,,,,,PC,,10.8452,0.006,351.617354,50.012001,-113.57700000000001,2.827,-57.256,1.432,2458765.6846,,3.367346,0.002634,1.092366,0.048425,1005.6,44.6,1.632,0.146,,,,,,,,,3.74,0.08,,,216.6,,977.0,,,,0.0402,,,,,,,,,,105.8117,,5143.0,,,,0.919824,,2020-01-02 17:49:14,damboiu,,8510,Host star is likely to be very young
25758307,25758307.01,,,,,,,,PC,,10.9677,0.006999999999999999,10.029033,26.102983,-2.557,0.064,-100.24700000000001,0.055,2458765.2912,,0.9033459999999999,0.00031299999999999996,0.45827700000000005,0.041259,422.0,38.0,1.3630000000000002,0.055,,,,,,,,,1.38,0.07,,,329.6,,1086.0,,,,0.01566,,,,,,,,,,57.3632,0.15435,3910.0,157.0,4.668019999999999,0.0102921,0.580201,0.0171379,2020-01-02 17:56:09,damboiu,,8512,"USP Candidate, low s2n"
27354439,27354439.01,,,,,,,,PC,,12.4969,0.006999999999999999,214.492781,37.297784,22.203000000000003,0.03,-36.74,0.043,2458738.7907,,0.48598199999999997,7.2e-05,1.333669,0.061453999999999995,1227.6,56.6,0.552,0.028999999999999998,,,,,,,,,1.52,0.03,,,257.5,,1021.0,,,,0.00884,,,,,,,,,,59.0302,0.10535,3462.0,157.0,4.82881,0.00313684,0.397665,0.0117764,2020-01-02 17:41:32,damboiu,,8507,"USP Candidate, low s2n"
29478974,29478974.01,,,,,,,,PC,,10.619000000000002,0.006,314.081686,-26.588697999999997,17.123,0.114,-39.198,0.07200000000000001,2458326.4654,,24.90278,,4636.327172,,986021.224468432,,3.3333333333333304,,,,,,,,,,9.96490619535896,,,,,,,,,,,,,,,,,,,,197.173,2.8810000000000002,4737.0,77.0,,,1.7583900000000001,,2019-05-12 09:25:49,lipponen,,3542,firstBulkUpload
29478974,29478974.02,,,,,,,,PC,,10.619000000000002,0.006,314.081686,-26.588697999999997,17.123,0.114,-39.198,0.07200000000000001,2458333.7848,,12.45833,,2896.048467,,930564.652542362,,3.3333333333333304,,,,,,,,,,22.6316204773103,,,,,,,,,,,,,,,,,,,,197.173,2.8810000000000002,4737.0,77.0,,,1.7583900000000001,,2019-05-12 09:25:49,lipponen,,3542,firstBulkUpload
29667425,29667425.01,,,,,,,,PC,,10.2633,0.006,315.330873,-27.31751,6.063,0.106,-21.191,0.07200000000000001,2458335.9584,,,,6146.424417,,996521.193817212,,2.0,,,,,,,,,,6.6749670188886,,,,,,,,,,,,,,,,,,,,234.097,4.5865,5670.0,126.501,4.04936,0.0793904,1.57066,0.0815428,2019-05-25 09:17:28,lipponen,,3787,sector1
29786532,29786532.01,,,,,,,,PC,,14.5317,0.006,109.978473,-40.231884,-9.834,0.073,6.506,0.084,2458493.009889008,0.0008533117361366749,1.5878844940770864,0.00010213645650813952,245.21547599999997,26.312327000000003,202163.6677133884,23943.249745283374,2.369187986195578,0.056722419624215765,82.72427161544246,0.6133751257470124,0.7967204455508694,0.06932400678233062,0.44962614215967067,0.03765447039447417,6.291003586248814,0.1462038186523067,41.51029650683124,12.453088952049372,,,,,,,,,,,,,,,,,,,315.71,4.2125,3645.0,122.0,4.3072,,0.8463959999999999,,2019-09-18 09:12:28,bouma,tfopwg,5722,"Cand HJ/BD, Collinder135 (40 Myr). Rp is OK (Burrows+2001). CMD good (pre-MS). RA/dec on outskirts. (CDIPS; Bouma+19)."
29986808,29986808.01,,,,,,,,PC,,10.4281,0.006,72.912417,-68.27034599999999,32.937,0.153,65.116,0.18100000000000002,2458325.6324,,2.134028,,7062.6987,,998504.038144169,,1.26666666666667,,,,,,,,,,5.72211671898283,,,,,,,,,,,,,,,,,,,,218.233,3.7885,6276.0,135.281,4.32471,0.08885069999999999,1.26367,0.061205999999999997,2019-05-25 09:17:28,lipponen,,3787,sector1
29986808,29986808.02,,,,,,,,PC,,10.4281,0.006,72.912417,-68.27034599999999,32.937,0.153,65.116,0.18100000000000002,2458326.6922,,2.1229169999999997,,6085.932313,,996321.8700019079,,1.33333333333333,,,,,,,,,,8.9724281569239,,,,,,,,,,,,,,,,,,,,218.233,3.7885,6276.0,135.281,4.32471,0.08885069999999999,1.26367,0.061205999999999997,2019-05-25 09:17:28,lipponen,,3787,sector1
31273263,31273263.01,,,,,,,,PC,,10.7858,0.006,88.10375400000001,-68.159441,5.417999999999999,0.049,26.235,0.048,2458337.8598,,,,1795.812763,,808717.651750035,,8.03333333333333,,,,,,,,,,118.56853801958,,,,,,,,,,,,,,,,,,,,495.635,5.735,5631.77,122.057,3.46682,0.08057339999999999,3.05932,0.162,2019-06-06 03:40:31,lipponen,,3787,sector1
32150630,32150630.01,,,,,,,,PC,,11.9631,0.006,59.244576,-68.625973,35.835,4.138,37.421,4.138,2458325.719,,1.494444,,2370.726831,,887355.687755761,,1.8333333333333302,,,,,,,,,,25.803044506485,,,,,,,,,,,,,,,,,,,,,,4323.0,173.0,,,0.704821,0.0703579,2019-05-25 09:17:28,lipponen,,3787,sector1
32150630,32150630.02,,,,,,,,PC,,11.9631,0.006,59.244576,-68.625973,35.835,4.138,37.421,4.138,2458326.4704,,1.488889,,3974.745354,,974290.0129224521,,1.4333333333333302,,,,,,,,,,12.327279607920199,,,,,,,,,,,,,,,,,,,,,,4323.0,173.0,,,0.704821,0.0703579,2019-05-25 09:17:28,lipponen,,3787,sector1
