TICID Tmag P[d] T0[BJD_TDB-2457000] Duration Depth[ppm] Triage_prediction Vetting_prediction
363914762 10.931 13.862950 1445.332277 6.57 7490 0.894 0.935
318063607 11.591 1.972508 1470.574615 3.98 6900 0.994 0.93
72556406 10.763 5.564581 1470.665685 5.36 3590 0.976 0.926
375144153 11.611 3.349557 1328.947672 3.20 1370 0.989 0.913
238920875 11.740 6.534533 1326.067219 3.70 6610 0.935 0.911
231736113 11.371 10.576018 1414.601978 4.52 5180 0.798 0.906
231081369 11.686 7.632922 1329.841961 2.04 4880 0.968 0.906
119685627 11.396 5.033517 1472.754875 4.71 9400 0.97 0.899
25155310 10.555 3.288961 1327.516978 3.72 7020 0.996 0.894
339672028 9.370 10.330855 1387.669219 5.89 4580 0.893 0.89
238197638 11.729 7.276679 1355.883202 5.23 3270 0.945 0.89
391745950 11.078 2.429812 1327.492932 3.07 1630 0.991 0.889
393414358 10.417 4.374266 1469.700462 5.58 7210 0.994 0.886
71469964 9.543 2.048315 1468.865706 3.15 900 0.978 0.878
34077285 9.210 6.381659 1471.137677 2.93 3220 0.58 0.872
322687395 11.415 4.002862 1471.141177 2.32 4300 0.967 0.871
61248906 11.792 2.993511 1469.423987 2.64 3790 0.982 0.864
179317684 10.843 4.231651 1328.874103 4.67 7190 0.992 0.862
147312741 11.391 2.816972 1471.197891 3.57 3380 0.99 0.861
278683844 9.234 5.542128 1327.600005 3.01 480 0.829 0.861
340058770 11.874 2.758566 1385.912920 4.22 12690 0.996 0.857
32949757 11.927 3.767558 1468.974521 2.86 11620 0.939 0.847
37603669 11.584 2.969808 1468.864996 2.47 5020 0.99 0.845
344087362 10.030 13.962886 1481.818801 6.84 3740 0.922 0.845
170102285 11.682 2.941959 1470.667403 2.64 20280 0.982 0.844
349789882 11.301 10.016470 1329.628043 1.69 1980 0.84 0.842
443539530 11.158 2.719387 1470.030341 2.24 3290 0.97 0.832
52640302 11.988 1.572030 1469.592407 2.55 16770 0.996 0.83
235067594 11.276 8.296909 1438.933450 2.96 3750 0.892 0.826
34371411 10.938 3.881647 1472.485586 4.54 8780 0.99 0.82
172409263 9.995 2.111086 1469.560165 2.20 1140 0.974 0.816
317924729 11.067 1.998197 1468.957994 3.61 11510 0.993 0.816
255704097 10.585 6.014029 1470.980421 1.72 7740 0.86 0.815
49079670 9.875 1.891807 1470.207475 1.44 770 0.887 0.809
172464366 11.056 2.920137 1470.049317 3.17 14790 0.991 0.808
443452168 11.857 4.634948 1472.707943 9.59 6880 0.986 0.808
119170373 8.860 3.231364 1470.577387 1.65 1430 0.786 0.803
25250808 11.515 3.323634 1468.782982 5.80 13550 0.995 0.803
34466256 11.970 0.702749 1468.973241 1.20 2470 0.965 0.802
150098860 9.656 10.692789 1335.921402 2.54 570 0.881 0.801
322740947 11.883 1.750530 1470.221519 2.90 2120 0.987 0.799
172193428 10.328 2.939634 1470.250746 1.25 1940 0.89 0.798
38846515 10.307 2.849407 1326.744696 3.98 7730 0.998 0.797
63571763 11.979 3.657340 1470.778793 3.04 3820 0.986 0.791
79292541 9.373 2.275200 1470.742574 2.09 1490 0.946 0.79
167418898 10.179 10.979537 1335.776524 1.92 2680 0.925 0.783
157533118 11.733 2.519023 1470.833981 3.72 1510 0.782 0.776
317483660 11.494 3.331287 1471.200359 4.10 11740 0.983 0.771
54064834 11.495 6.057196 1470.396892 2.48 2960 0.92 0.768
156836699 10.463 5.175336 1473.410078 3.05 3100 0.949 0.763
201493205 10.619 4.063323 1472.533860 2.58 8260 0.97 0.757
142523514 11.701 2.920137 1470.496760 2.34 7970 0.963 0.754
339769761 11.442 4.604645 1386.570095 2.45 1520 0.949 0.752
21725655 11.641 4.015693 1439.318766 2.39 3970 0.974 0.748
67196573 10.729 2.556024 1469.400820 1.06 3280 0.689 0.734
35644550 9.453 5.430301 1469.685013 3.83 2060 0.931 0.733
139444326 11.474 3.526167 1440.702014 2.47 1300 0.641 0.732
61404104 10.698 4.116773 1469.622464 3.64 1280 0.984 0.732
63199675 10.425 2.833525 1470.244562 1.88 3530 0.954 0.723
279644164 11.495 7.441509 1469.869921 4.49 15190 0.95 0.718
200324182 10.342 1.297000 1411.750103 1.53 1890 0.991 0.716
97279976 11.547 1.530326 1469.171958 3.44 5560 0.996 0.713
172521714 11.279 3.831710 1470.174757 4.01 32160 0.99 0.712
350445771 10.998 3.190404 1326.799310 1.57 2850 0.967 0.711
317277995 11.873 2.433191 1470.987509 2.09 3610 0.92 0.708
279425357 11.544 9.017454 1358.154457 1.44 4120 0.52 0.703
279645722 10.369 2.220812 1469.322319 1.61 930 0.925 0.699
78953309 9.725 1.931130 1470.346593 2.60 560 0.923 0.698
38696105 10.482 5.577113 1326.104199 2.42 590 0.723 0.694
232038804 11.217 4.154500 1471.244532 2.12 8930 0.96 0.693
100589632 11.070 3.946770 1439.568240 1.81 1780 0.8 0.69
192831602 11.381 9.790579 1447.827549 5.09 7200 0.927 0.686
119544485 11.603 2.322156 1469.287125 2.93 1840 0.896 0.684
63572800 11.829 2.021734 1470.356296 3.22 38350 0.991 0.674
120165978 11.422 1.465310 1469.752267 3.06 2250 0.994 0.667
24887574 11.001 1.771662 1468.921754 2.17 1020 0.718 0.66
259701232 11.529 2.485701 1384.181439 3.18 4190 0.988 0.655
443369587 11.885 2.085436 1470.142533 1.34 9360 0.965 0.652
300116105 11.596 2.075595 1469.703864 1.42 3080 0.944 0.651
346316941 11.412 1.688926 1469.289457 1.40 5510 0.918 0.651
71728593 11.536 2.392378 1470.782565 2.53 13730 0.988 0.646
443164624 11.764 2.525427 1469.482256 1.91 2620 0.921 0.641
346574001 10.591 5.450762 1468.878060 3.64 820 0.699 0.641
149603524 9.716 4.412208 1326.074373 3.95 14710 0.996 0.64
200321330 11.143 1.815170 1411.405135 2.16 5130 0.987 0.635
220459826 11.762 2.239526 1355.728967 1.26 1040 0.549 0.632
124201045 11.899 7.157484 1474.437824 4.44 6760 0.85 0.631
288078795 9.347 2.055383 1469.367685 1.68 2690 0.971 0.63
147263084 11.743 0.614515 1468.868150 1.76 5660 0.956 0.624
350623356 11.469 2.871340 1328.054642 2.66 660 0.944 0.618
231969683 10.616 13.986153 1481.389627 3.54 13590 0.893 0.618
238129783 11.277 4.849406 1469.394608 2.00 1680 0.3 0.612
123742935 11.640 1.712055 1469.065779 1.81 2310 0.944 0.607
47911178 9.776 3.586105 1470.300149 2.83 11850 0.98 0.605
299742843 11.927 3.351131 1470.590447 1.89 8980 0.762 0.601
140691463 11.976 2.084444 1326.551771 2.26 12920 0.992 0.6
300146940 11.988 0.355657 1438.097487 1.31 5320 0.996 0.596
63665162 11.783 3.985532 1471.517260 2.55 9520 0.969 0.59
147977348 10.002 5.000113 1469.747290 3.51 6900 0.974 0.581
123898871 9.831 4.901942 1470.359873 4.29 12330 0.98 0.576
32925763 11.042 1.679960 1469.859626 1.45 2250 0.842 0.572
306477840 10.981 5.522099 1469.524965 3.78 9700 0.939 0.57
21725658 11.200 4.015693 1439.320057 2.48 2460 0.925 0.566
48242396 11.709 0.865599 1468.736100 1.67 1760 0.943 0.566
61341442 11.624 1.918690 1469.833807 3.79 2660 0.984 0.564
339958786 11.703 7.497688 1389.519061 3.64 16280 0.954 0.561
382626661 9.649 8.810778 1333.461016 3.79 280 0.712 0.553
30031594 11.588 4.806822 1330.384295 2.70 1300 0.856 0.55
142522973 11.821 7.097287 1473.393670 4.90 5790 0.969 0.54
146918469 11.984 3.523713 1469.853577 3.34 8590 0.971 0.539
200387965 11.673 0.550108 1411.443175 1.15 1300 0.979 0.536
157568289 10.341 1.840512 1468.735923 5.17 3010 0.996 0.529
443556801 11.266 1.508082 1470.123856 1.36 1550 0.7 0.523
443115550 11.067 2.924354 1469.496132 3.25 1800 0.925 0.52
97056348 11.956 2.898275 1471.068489 2.00 9330 0.949 0.518
52452979 11.803 12.540751 1472.832850 4.19 5160 0.817 0.509
32606889 11.585 4.684260 1440.937721 4.85 11120 0.987 0.502
124331723 11.956 1.403180 1469.811385 3.58 10520 0.995 0.502
35299896 11.809 7.057715 1470.284406 3.78 10120 0.734 0.499
49187106 11.953 1.712634 1468.924649 3.14 1510 0.789 0.498
14091704 9.136 0.764880 1438.420081 1.50 1900 0.995 0.493
382101339 11.739 0.268842 1325.740785 0.74 630 0.895 0.492
130613909 11.924 2.240024 1470.162214 1.79 11610 0.954 0.483
349271454 11.575 0.716456 1325.793257 1.10 870 0.851 0.482
238926217 11.983 3.351340 1326.984089 2.16 1370 0.948 0.481
52639431 11.061 1.475015 1469.544384 2.18 3550 0.992 0.474
78669071 11.280 1.516892 1469.596999 2.26 2990 0.988 0.469
95418277 9.545 2.902560 1470.810932 3.41 460 0.808 0.465
