TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Planet Num,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity, Stellar Metallicity err,Sectors,Date TOI Alerted (UTC),Date TOI Edited (UTC),Date Modified,Comments
355703913,111.01,,4,5,5,5,5,5,4,,KP,KP,13.183,0.006,,1,spoc,00:03:05.88,-62:28:09.54,2.894,0.024,4.911,0.025,2458326.106323,0.001084,2.106098,6.9E-05,1.574766,0.083967,13.580831,0.57385,12430.50293,12430.50293,16.683676,14.132685,,,30.581211,508.842,3.896,5380,,4.4337,,0.98,,0.245387,0.0875268,"1,2",2018-09-05 18:34:19,2019-12-17 15:43:31,2019-12-17 10:00:02,HATS-34
388104525,112.01,,5,5,5,5,5,5,5,5,KP,KP,11.6035,0.006,,1,spoc,03:43:44.07,-65:11:37.61,21.126,0.032,16.543,0.043,2458327.409424,0.000189,2.499814,8E-06,2.878017,0.0169,16.458676,0.070009,15044.681641,15044.681641,14.839843,0.082961,996.863525,1433.107178,235.476913,302.448,2.004,5650,,4.28867,,1.2,,,,"1,2,3,4",2018-09-05 18:34:19,2019-12-17 15:43:39,2020-01-16 02:34:07,
97409519,113.01,,5,5,5,5,5,5,5,5,KP,KP,12.1893,0.006,,1,spoc,22:10:51.44,-30:44:58.99,-0.71,0.052,-14.516,0.049,2458327.053101,0.000623,3.372877,0.000147,2.63426,0.043644,18.796923,0.230641,17163.603516,17163.603516,14.201803,0.154789,615.165894,1270.1875,0.829214,448.637,7.508,6050,,4.45061,,1.02,,,,1,2018-09-05 18:34:19,2019-12-17 15:43:32,2020-01-16 02:34:07,WASP-124
25155310,114.01,,5,5,5,5,5,5,5,5,KP,KP,10.6103,0.006,,1,spoc,04:13:29.93,-69:13:35.73,63.134,0.045,53.433,0.039,2458327.520874,0.000203,3.288776,7E-06,3.410191,0.019658,7.763906,0.031384,7125.314941,7125.314941,10.835677,0.075686,808.154602,1359.857422,240.635345,216.526,0.932,5800,,4.28004,,1.27,,0.20683,0.0458093,"1,2,3,4,5,6",2018-09-05 18:34:19,2019-12-17 15:43:31,2020-01-16 02:34:07,
281541555,115.01,,4,5,5,5,5,5,4,5,KP,KP,13.0417,0.006,,1,spoc,00:26:48.63,-56:18:57.97,21.46,0.027,7.316,0.024,2458329.900635,0.001812,4.742745,0.000262,2.408768,0.137056,14.669268,0.562533,13420.032227,13420.032227,11.517937,11.536549,246.937668,1011.035889,24.498663,453.808,3.894,5377,185,4.42476,2.00401,0.980778,0.980778,,,"1,2",2018-09-05 18:34:19,2019-12-17 15:43:32,2020-01-16 02:34:07,HATS-46
238176110,116.01,,5,5,5,5,5,5,5,5,KP,KP,11.0443,0.006,,1,spoc,23:51:23.14,-70:09:10.3,96.185,0.041,-1.747,0.038,2458326.689331,0.00026,2.798594,4.9E-05,2.366459,0.022664,18.483064,0.109788,16879.449219,16879.449219,11.293845,0.108967,288.255493,1050.906738,0.808503,149.942,0.5175,4920,,4.49371,,0.86,,0.32,0.08,1,2018-09-05 18:34:19,2019-12-17 15:43:31,2020-01-16 02:34:07,WASP-91
322307342,117.01,,4,5,5,5,5,5,4,5,PC,KP,11.7806,0.006,,1,qlp,01:00:01.46,-58:54:17.01,22.522,0.049,7.594,0.041,2458328.480957,0.00133,3.5855,0.00038,3.173,0.123,6.798766,0.004213,6242.330078,6242.330078,15.2606,0.655196,668.223022,1416,49,603.955,10.2025,6075,108.300003,3.71,0.08,1.76,0.06,-0.25,0.0707107,1,2018-09-05 18:34:59,2019-12-17 15:43:32,2020-01-16 02:34:07,HATS-68
266980320,118.01,,2,5,5,4,4,2,4,5,PC,CP,9.179,0.006,,1,spoc,23:18:14.22,-56:54:14.35,313.918,0.039,-20.177,0.043,2458329.199585,0.001235,6.036061,0.000637,2.123832,0.09961,1.85171,0.061023,1704.034302,1704.034302,4.926376,0.630906,242.435043,1006.395264,0.830483,94.1719,0.2512,5586,187,4.36763,0.270247,1.0776,0.128732,,,1,2018-09-05 18:34:19,2019-12-17 15:43:31,2020-01-16 02:34:07,
278683844,119.01,,1,5,5,5,2,1,4,,PC,,9.2789,0.006,,1,spoc,06:36:57.22,-58:00:58.15,51.497,0.042,-205.6,0.049,2458327.615845,0.002023,5.541143,0.000132,3.03471,0.132389,0.679699,0.032176,625.829712,625.829712,2.468596,0.314115,,,20.643391,66.6187,0.1003,5332,184,4.56429,0.272717,0.829762,0.100432,,,"1,2,3,4,5,6",2018-08-30 14:18:00,2019-12-17 15:43:41,2019-12-17 10:00:02,follow up in progress
278683844,119.02,,4,5,5,5,2,4,4,5,PC,,9.2789,0.006,,2,spoc,06:36:57.22,-58:00:58.15,51.497,0.042,-205.6,0.049,2458328.046387,0.002725,10.691632,8.3E-05,3.177466,0.415448,0.563905,0.028667,519.241028,519.241028,1.891011,0.969714,58.334728,704.857849,19.546083,66.6187,0.1003,5332,184,4.56429,0.272717,0.829762,0.100432,,,"1,2,3,4,5,6,8,9,10,11,12,13",2018-10-19 23:49:46,2019-12-17 15:43:32,2020-01-16 02:34:07,follow up in progress
394137592,120.01,,3,5,5,3,4,4,4,,KP,CP,7.1062,0.006,,1,spoc,00:17:47.32,-66:21:32.14,64.763,0.049,-5.056,0.041,2458332.082764,0.000707,11.535076,0.001035,8.555958,0.069027,2.597913,0.031416,2389.90625,2389.90625,12.215808,1.480912,,,32.900002,79.5702,0.17345,5479.299805,57,3.77,0.08,2.48771,0.298399,-0.02,0.09,1,2018-09-05 18:34:19,2019-12-17 15:43:32,2019-12-17 10:00:02,
231702397,122.01,,2,4,4,2,2,3,4,5,PC,,13.084,0.007,,1,spoc,22:11:47.58,-58:56:45.91,138.138,0.089,-235.81,0.076,2458329.12146,0.002308,5.077677,0.000878,1.155359,0.447793,7.082388,0.848326,6501.890625,6501.890625,2.386458,1.250847,6.457958,406.577698,0.940471,62.118,0.2158,3318,64,4.9581,0.407256,0.294,0.051,,,1,2018-09-05 18:34:19,2019-12-17 15:43:32,2020-01-16 02:34:07,Small star with a small planet candidate
290131778,123.01,,3,5,5,5,4,5,3,5,PC,CP,7.87598,0.011,,1,spoc,21:18:47.9,-26:36:58.95,23.236,0.157,-57.557,0.152,2458325.37561,0.000473,3.308754,0.000101,5.634728,0.031274,3.455018,0.030544,3177.131836,3177.131836,7.723223,7.723462,1078.91748,1461.72876,0.920341,161.498,2.4235,6188,194,4.27166,2.00586,1.31887,1.31887,,,1,2018-09-05 18:34:19,2019-12-17 15:43:32,2020-01-16 02:34:07,
52368076,125.01,,1,5,5,5,4,1,2,4,PC,CP,10.1985,0.006,,1,spoc,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.953,0.08,2458327.432861,0.001879,4.653811,0.000289,2.921928,0.288457,1.094846,0.054923,1007.882446,1007.882446,2.863905,1.099036,188.107544,944.542053,17.438063,111.059,0.442,5154,182,4.47072,0.28501,0.89927,0.116155,,,"1,2",2018-09-05 18:34:19,2019-12-17 15:43:32,2020-01-16 02:34:07,
52368076,125.02,,2,5,5,5,4,4,2,5,PC,CP,10.1985,0.006,,2,spoc,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.953,0.08,2458334.456665,0.002132,9.150607,0.00073,2.907668,0.380794,1.08213,0.066853,996.181824,996.181824,2.861244,1.371003,76.380043,753.988525,14.804296,111.059,0.442,5154,182,4.47072,0.28501,0.89927,0.116155,,,"1,2",2018-09-05 18:34:19,2019-12-17 15:43:38,2020-01-16 02:34:07,second planet (125.02)
52368076,125.03,,1,4,1,5,4,4,1,5,PC,,10.1985,0.006,,3,spoc,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.953,0.08,2458342.851807,0.003286,19.981867,0.004595,2.991231,0.720831,1.136504,0.121919,1046.211182,1046.211182,2.899664,2.696121,26.945604,581.087769,10.261628,111.059,0.442,5154,182,4.47072,0.28501,0.89927,0.116155,,,"1,2",2018-10-19 23:49:42,2019-12-17 15:43:38,2020-01-16 02:34:07,period is likely correct but possibly two independent single transits
70440470,126.01,,4,5,5,5,5,5,4,5,PC,KP,12.7923,0.006,,1,spoc,22:37:57.43,-35:09:15.13,-9.326,0.041,-50.142,0.045,2458326.731079,0.000948,3.035381,0.000203,2.886722,0.077295,18.329993,0.362193,16740.835938,16740.835938,15.044467,15.047709,718.651245,1320.533081,0.860842,573.027,11.688,5751,189,4.35036,,1.12237,1.12237,,,1,2018-09-05 18:34:19,2019-12-17 15:43:32,2020-01-16 02:34:07,
234523599,127.01,,5,5,5,5,4,5,5,5,KP,CP,14.1266,0.007,,1,spoc,01:02:12.45,-61:45:22.08,78.858,0.087,-27.095,0.064,2458325.650146,0.000565,3.795609,6.9E-05,2.042805,0.04323,61.846913,0.872572,55371.085938,55371.085938,23.750977,0.342044,54.25058,692.182861,58.1628,140.225,0.86,3424,,4.438,,1,,,,"1,2",2018-09-05 18:34:19,2019-12-17 15:43:32,2020-01-16 02:34:07,
391949880,128.01,,1,5,5,1,4,4,4,2,PC,,7.9849,0.006,,1,spoc,05:18:05.03,-80:57:51.78,-49.146,0.042,45.307,0.046,2458328.129395,0.001912,4.940663,0.000654,2.202493,0.278214,0.432821,0.030868,398.563171,398.563171,2.766351,0.943072,596.283936,1260.326416,16,68.4727,0.119,6086,193,4.26269,0.26143,1.3075,0.145464,,,1,2018-09-05 18:34:19,2019-12-17 15:43:39,2020-01-16 02:34:07,There is a nearby (2
201248411,129.01,,3,5,5,3,2,4,4,,PC,,9.9005,0.006,,1,spoc,00:00:44.55,-54:49:50.96,-202.815,0.031,-71.518,0.029,2458354.552368,0.000149,0.980981,1E-05,0.743316,0.014155,7.657951,0.131193,7028.41748,7028.41748,9.218137,2.036007,,,108.864296,61.7856,0.0805,4486,175,4.49914,0.338797,0.782459,0.124009,,,2,2018-09-05 18:34:18,2019-12-17 15:43:32,2019-12-17 10:00:02,TOI 129.01
263003176,130.01,,1,4,1,5,2,3,4,3,PC,,7.4371,0.006,,1,spoc,00:50:11.23,-83:44:37.56,139.424,0.056,30.476,0.042,2458336.55957,0.002205,14.339928,0.003271,4.674277,0.530555,0.443928,0.026551,408.789337,408.789337,2.367528,1.131195,115.245193,835.651978,22.53896,57.5846,0.0945,6295.700195,56.480999,4.438,,1.14366,0.10287,,,"1,12,13",2018-09-05 18:34:18,2019-12-17 15:43:38,2020-01-16 02:34:07,Centroid shift is almost a pixel away but there is no corresponding star in that position. There are two nearby stars Gmag=13 close to the NW and Gmag=18 to the SE. If the transit signal is on target it is a small planet around a bright star.
89020549,132.01,,2,4,4,2,2,4,4,3,PC,,10.8061,0.006,,1,spoc,22:33:35.92,-43:26:12.74,35.553,0.043,-53.055,0.054,2458326.903931,0.001768,2.109307,0.00025,2.068328,0.357938,1.498733,0.091942,1379.432007,1379.432007,3.307084,1.646429,687.428894,1305.950439,0.845486,163.678,0.987,5673,188,4.55383,0.4189,0.87924,0.176641,,,1,2018-09-05 18:34:18,2019-12-17 15:43:31,2020-01-16 02:34:07,Possible centroid shift toward faint star to the SE
219338557,133.01,,2,4,4,2,2,4,4,5,PC,,9.9762,0.006,,1,spoc,23:37:35.37,-58:57:18.28,196.638,0.043,-102.545,0.044,2458327.291382,0.002752,8.1952,0.001473,2.309555,0.457632,1.028066,0.089231,946.435791,946.435791,2.160801,1.917926,24.583944,567.914062,0.821221,48.6326,0.06345,4028,170,4.55902,0.201108,0.708945,0.059908,,,1,2018-09-05 18:34:18,2019-12-17 15:43:32,2020-01-16 02:34:07,
234994474,134.01,,1,5,5,5,2,1,4,4,PC,,9.22978,0.007,,1,spoc,23:20:06.86,-60:03:56.63,-319.961,0.102,-127.781,0.115,2458326.033203,0.001456,1.401461,0.000137,1.264937,0.207902,0.614161,0.041098,565.503296,565.503296,1.583888,0.360332,151.581711,894.914307,0.823193,25.1496,0.0239,3794,69,4.67812,0.063226,0.598,0.018,,,1,2018-09-05 18:34:18,2019-12-17 15:43:31,2020-01-16 02:34:07,Level 1 candidate
267263253,135.01,,5,5,5,5,4,5,5,5,PC,CP,9.2205,0.006,,1,spoc,00:29:18.94,-76:18:14.52,-2.97,0.037,6.961,0.031,2458325.783813,0.000208,4.126904,5.7E-05,4.492686,0.016126,10.9872,0.036277,10068.554688,10068.554688,15.947767,2.122716,1454.030396,1574.936768,0.777657,196.852,0.774,6888,204,4.23416,0.355654,1.5479,0.205971,,,1,2018-09-05 18:34:18,2019-12-17 15:43:31,2020-01-16 02:34:07,
410153553,136.01,,1,5,5,5,4,1,4,1,PC,CP,11.9238,0.008,,1,spoc,22:41:59.09,-69:10:19.59,334.357,0.083,-726.974,0.086,2458325.726074,0.000322,0.46291,1.1E-05,0.520794,0.106125,5.094966,0.19426,4681.644043,4681.644043,1.267697,0.366063,64.621811,723.126953,0.817114,14.8846,0.0113,3043,63,5.09707,0.426694,0.179,0.032,,,1,2018-09-05 18:34:18,2019-12-17 15:43:31,2020-01-16 02:34:07,Level 1 target. Potential short period small planet around an M dwarf.
62483237,139.01,,1,4,1,5,4,3,1,2,PC,,9.3636,0.006,,1,spoc,22:25:36.58,-34:54:34.97,26.43,0.071,-30.255,0.08,2458334.896362,0.001811,11.058421,0.00257,2.136519,0.327214,1.48535,0.109118,1367.122803,1367.122803,2.687866,1.814681,24.043659,564.767761,0.888537,42.4061,0.0763,4356,173,4.53491,0.3608,0.738419,0.125859,,,1,2018-09-05 18:34:18,2019-12-17 15:43:32,2020-01-16 02:34:07,Level 1 candidate
140068425,140.01,,3,4,4,3,4,4,4,5,PC,,9.7828,0.006,,1,spoc,22:01:12.43,-49:03:36.28,32.489,0.077,-15.438,0.075,2458327.399292,0.001311,2.28139,0.000207,0.859711,0.116683,1.170393,0.107399,1077.390747,1077.390747,5.069735,5.087404,1742.578491,1647.850586,0.832334,337.105,5.7035,6174,194,4.27404,2.00568,1.31178,1.31178,,,1,2018-09-05 18:34:18,2019-12-17 15:43:32,2020-01-16 02:34:07,
403224672,141.01,,1,5,5,5,4,1,2,1,PC,CP,7.384,0.006,,1,spoc,22:35:56.09,-59:51:53.38,-108.388,0.05,-84.419,0.064,2458325.538574,0.001209,1.007908,8.5E-05,1.534232,0.161406,0.239317,0.011465,220.394485,220.394485,1.974088,0.429755,2928.328857,1876.180908,0.795608,48.0883,0.0989,5795.290039,44.580399,4.438,,1.18947,0.106891,,,1,2018-09-05 18:34:18,2019-12-17 15:43:31,2020-01-16 02:34:07,
425934411,142.01,,3,5,5,3,1,4,4,5,PC,,14.7109,0.007,,1,spoc,00:18:25.41,-62:50:52.35,6.11,0.068,5.18,0.059,2458325.489746,0.000851,0.853319,2.4E-05,1.139772,0.074358,30.666932,1.798922,27850.119141,27850.119141,21.801229,12.37259,516.976685,1216.151001,22.001486,320.237,4.469,3658,162,4.438,,1,,,,"1,2",2018-09-05 18:34:18,2019-12-17 15:43:32,2020-01-16 02:34:07,Gaia stellar radii 0.69 Rsun.
25375553,143.01,,5,5,5,5,5,5,5,5,PC,KP,9.77486,0.006,,1,spoc,21:55:04.26,-22:36:45.36,12.885,0.101,-4.311,0.105,2458325.58252,0.000343,2.310894,5.5E-05,3.422324,0.025078,7.560571,0.050386,6939.354004,6939.354004,17.627707,3.516223,4218.115234,2055.414307,0.873101,298.109,6.691,6371,197,3.94807,0.439603,1.98196,0.395184,,,1,2018-09-05 18:34:18,2019-12-17 15:43:31,2020-01-16 02:34:07,
261136679,144.01,,1,5,5,5,4,1,1,1,PC,CP,5.1054,0.006,,1,spoc,05:37:11.83,-80:27:52.57,311.187,0.127,1048.84,0.136,2458325.505005,0.001062,6.267726,9.9E-05,2.934834,0.265566,0.314561,0.019027,289.679352,289.679352,1.72231,0.876033,253.454041,1017.64093,13.214754,18.2702,0.0226,5950,,4.438,,1,,0.0887839,0.00649598,"1,4",2018-09-05 18:34:18,2019-12-17 15:43:39,2020-01-16 02:34:07,Pi Men c
265612438,145.01,,3,4,4,3,2,4,4,5,PC,,11.6789,0.006,,1,qlp,22:12:41.93,-55:58:43.69,-5.816,0.065,-4.917,0.063,2458327.049561,0.00317,5.12944,0.00132,4.832,0.202,3.671756,0.002519,3376.100098,3376.100098,10.357,0.365187,502.843994,1319,22,438.421,8.695,5430.700195,64.5,4.4,2,1.62,0.04,,,1,2018-09-05 18:35:00,2019-12-17 15:43:31,2020-01-16 02:34:07,Some confusion about whether source is this star or the close pair of equal brightness stars to the NE (260985864)- but difference image seems to indicate source is more likely to be this star.
355636844,146.01,,3,4,3,3,2,4,4,,KP,,10.241,0.019,,1,qlp,23:53:12.51,-56:00:48.02,72.2,2,-39.62,2,2458330.556152,0.00445,6.29632,0.00401,2.938,0.305,1.063811,0.002052,979.325989,979.325989,,,,,15,,,6905,204,,,,,,,1,2018-09-05 18:35:00,2019-12-17 15:43:32,2019-12-17 10:00:02,Signal coming from a faint star to the SE. At least for the brighter of those it could be a planet.
220435095,147.01,,3,4,3,3,2,4,4,5,PC,,11.8999,0.006,,1,qlp,04:54:33.95,-57:30:48.43,5.001,0.053,22.236,0.054,2458326.611084,0.00143,3.42316,0.00033,1.95,0.406,10.565467,0.019652,9683.959961,9683.959961,26.576799,1.73554,844.018982,1501,42,820.079,16.5695,5808.299805,137.399994,,,2.46,0.12,-0.773322,0.1,1,2018-09-05 18:35:00,2019-12-17 15:43:31,2020-01-16 02:34:07,
393940766,148.01,,3,4,3,3,2,3,4,5,PC,,11.7835,0.006,,1,qlp,22:33:16.99,-38:09:35.38,22.348,0.07,-25.839,0.072,2458327.331299,0.00241,4.8661,0.00101,3.215,0.228,5.473965,0.005114,5029.02002,5029.02002,9.70106,3.16125,326.709991,1184,26,395.257,9.729,5814.299805,793.799988,4.34,2,1.24,0.4,,,1,2018-09-05 18:35:00,2019-12-17 15:43:32,2020-01-16 02:34:07,Planet candidate around 393940766 to the NW.
260985861,149.01,,3,5,5,3,2,4,4,5,PC,,10.14,0.018,,1,qlp,05:06:32.61,-80:46:05.21,-5.5,2.3,18.2,2.2,2458327.402222,0.002,3.34024,0.00049,4.077,0.323,5.532205,0.00291,5082.390137,5082.390137,,,572.591858,1247.616333,13,,,5095.600098,1193.099976,,,,,,,1,2018-09-05 18:35:00,2019-12-17 15:43:31,2020-01-16 02:34:07,Source is apparently 260985864- which may be a planet depending on host star size.
271893367,150.01,,3,5,5,3,2,4,4,5,PC,,10.9031,0.006,,1,qlp,07:31:51.7,-73:36:21.73,-15.215,0.029,27.144,0.033,2458326.27832,0.00139,5.85758,0.00053,5.818,0.107,8.048768,0.001065,7385.779785,7385.779785,14.9738,0.259698,702.904724,1313.239258,36,336.267,1.916,5766,37.299999,4.1,0.11,1.58,0.02,0.211186,0.046085,1,2018-09-05 18:34:59,2019-12-17 15:43:31,2020-01-16 02:34:07,
129637892,155.01,,3,4,3,3,4,4,4,,PC,,9.0284,0.006,,1,qlp,21:24:27.6,-37:51:00.65,7.193,0.049,-6.279,0.051,2458326.744385,0.0038,5.43636,0.00194,5.974,0.257,8.974991,0.245404,8232.200195,8232.200195,18.3741,3.17363,,,27,187.131,1.351,6220.5,151.800003,3.99,0.36,1.84,0.09,,,1,2018-09-05 18:34:59,2019-12-17 15:43:38,2019-12-17 10:00:02,
140691463,157.01,,3,5,5,3,2,4,4,5,PC,,12.0166,0.006,,1,qlp,04:54:48.35,-76:40:50.18,11.712,0.035,-18.922,0.05,2458326.546021,0.00053,2.08457,9E-05,1.788,0.046,14.527606,0.005244,13291.299805,13291.299805,14.4073,0.347154,813.04657,1361.910645,88,355.683,2.826,5390.899902,39.799999,4.41,2,1.14,0.02,,,1,2018-09-05 18:34:59,2019-12-17 15:43:39,2020-01-16 02:34:07,
403136413,158.01,,4,5,5,5,2,4,4,5,PC,,11.2314,0.006,,1,qlp,22:14:18.89,-55:22:44.33,-8.312,0.043,4.153,0.053,2458326.378052,0.00219,2.51266,0.00045,2.411,0.173,3.033449,0.002942,2790.01001,2790.01001,13.3617,0.731867,793.471008,1478,22,601.367,11.559,5988,137.800003,4.08,0.16,2.3,0.1,-0.03,0.12,1,2018-09-05 18:34:59,2019-12-17 15:43:31,2020-01-16 02:34:07,
394657039,159.01,,3,5,5,3,2,4,4,5,PC,,10.5132,0.006,,1,qlp,03:27:07.74,-78:32:59.39,11.616,0.057,1.959,0.043,2458328.636841,0.00055,3.76276,0.00019,4.108,0.076,14.416366,0.000912,13190.200195,13190.200195,20.807301,3.06145,1171.709961,1629,100,347.593,2.519,6404,463.299988,4.43,0.16,1.65,0.24,0.17,0.12,1,2018-09-05 18:34:59,2019-12-17 15:43:31,2020-01-16 02:34:07,
348770361,161.01,,3,4,3,3,2,4,4,5,PC,,11.4964,0.006,,1,qlp,03:06:44.77,-82:18:58.93,14.9,2.9,4.7,2.8,2458325.702881,0.00212,2.76898,0.00047,4.619,0.289,3.801785,0.001857,3495.449951,3495.449951,,,2193.830078,1906,34,333.651,,5792.5,29.9,4.42,2,,,,,1,2018-09-05 18:34:59,2019-12-17 15:43:38,2020-01-16 02:34:07,Unknown stellar (and candidate) radius. Possible small centroid shift to NW.
