#																					
#   VizieR Astronomical Server vizier.u-strasbg.fr																					
#    Date: 2019-10-29T05:44:44 [V1.99+ (14-Oct-2013)]																					
#   In case of problem, please report to:	cds-question@unistra.fr																				
#																					
#																					
#Coosys	J2000:	eq_FK5 J2000																			
#INFO	votable-version=1.99+ (14-Oct-2013)																				
#INFO	-ref=VIZ5db7d1b5b202																				
#INFO	-out.max=unlimited																				
#INFO	queryParameters=35																				
#-oc.form=dec																					
#-out.max=unlimited																					
#-nav=cat:J/A+A/558/A53&tab:{J/A+A/558/A53/catalog}&key:source=J/A+A/558/A53/catalog&HTTPPRM:&																					
#-c.eq=J2000																					
#-c.r=  2																					
#-c.u=arcmin																					
#-c.geom=r																					
#-source=J/A+A/558/A53/catalog																					
#-order=I																					
#-out=map																					
#map=map																					
#-out=cmd																					
#cmd=cmd																					
#-out=stars																					
#stars=stars																					
#-out=MWSC																					
#-out=Type																					
#-out=RAJ2000																					
#-out=DEJ2000																					
#-out=r0																					
#-out=r1																					
#-out=r2																					
#-out=pmRA																					
#-out=pmDE																					
#-out=RV																					
#-out=d																					
#-out=E(B-V)																					
#-out=logt																					
#-out=rc																					
#-out=rt																					
#-out=k																					
#-out=SType																					
#-out=[Fe/H]																					
#-out=Simbad																					
#Simbad=Simbad																					
#																					
																					
#RESOURCE=yCat_35580053																					
#Name: J/A+A/558/A53																					
#Title: Milky Way global survey of star clusters. II. (Kharchenko+, 2013)																					
#Table	J_A_A_558_A53_catalog:																				
#Name: J/A+A/558/A53/catalog																					
#Title: Catalog of parameters for open clusters																					
#Column	map	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]																	
#Column	cmd	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]																	
#Column	stars	(a5)	Display this cluster star catalog	[ucd=meta.ref.url]																	
#Column	MWSC	(A4)	[1/3784] MWSC sequential number	[ucd=meta.id;meta.main]																	
#Column	Type	(A1)	[agmnrs] Cluster type (G1)	[ucd=meta.code.class]																	
#Column	RAJ2000	(F7.3)	Adopted cluster centre in RA J2000.0	[ucd=pos.eq.ra;meta.main]																	
#Column	DEJ2000	(F7.3)	Adopted cluster centre in Dec J2000.0	[ucd=pos.eq.dec;meta.main]																	
#Column	r0	(F7.3)	Angular radius of the core (0 if no core)	[ucd=phys.angSize]																	
#Column	r1	(F7.3)	Angular radius of the central part	[ucd=meta.id.part;phys.angSize]																	
#Column	r2	(F7.3)	Angular radius of the cluster	[ucd=phys.angSize]																	
#Column	pmRA	(F7.2)	Average proper motion in RA*cos(DE)	[ucd=pos.pm;pos.eq.ra]																	
