#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-29T05:46:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5db7d22c0d7c	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/558/A53&tab:{J/A+A/558/A53/index}&key:source=J/A+A/558/A53/index&HTTPPRM:&
#-source=J/A+A/558/A53/index
#-order=I
#-out=MWSC
#-out=Name
#-out=flag
#-out=Type
#-out=n_Type
#-out=Src
#-out=SType
#-out=N
#

#RESOURCE=yCat_35580053
#Name: J/A+A/558/A53
#Title: Milky Way global survey of star clusters. II. (Kharchenko+, 2013)
#Table	J_A_A_558_A53_index:
#Name: J/A+A/558/A53/index
#Title: List of MWSC objects
#Column	MWSC	(A4)	[1/3784] MWSC sequential number	[ucd=meta.record]
#Column	Name	(a17)	NGC, IC or other common designation	[ucd=meta.number]
#Column	flag	(A1)	Flag of confirmation/no confirmation (G5)	[ucd=meta.code.error]
#Column	Type	(A1)	[agmnrs] Object type (G1)	[ucd=src.class]
#Column	n_Type	(A1)	[oc] object/candidate	[ucd=meta.note]
#Column	Src	(A4)	Source for MWSC list and input parameters (G2)	[ucd=meta.bib]
#Column	SType	(A3)	Source object type (G3)	[ucd=src.class]
#Column	N	(I9)	Number of stars in MWSC sky area	[ucd=meta.number]
MWSC	Name	flag	Type	n_Type	Src	SType	N
 	 	 	 	 	 	 	
----	-----------------	-	-	-	----	---	---------
0001	Berkeley_58      	=	 	 	COCD	   	    17033
0002	NGC_7801         	=	 	 	DIAS	   	     6322
0003	FSR_0459         	=	 	 	DIAS	irc	     9871
0004	Stock_18         	=	 	 	DIAS	   	    10586
0005	Berkeley_59      	=	 	 	COCD	   	    14800
0006	Cep_OB4          	=	a	o	MELN	ass	    60259
0007	Blanco_1         	=	 	 	COCD	   	    27377
0008	Berkeley_104     	=	 	 	DIAS	   	    15869
0009	IRAS_00013+6817  	=	 	 	BIEM	irc	     7318
0010	PTB_8            	-	 	 	BIEM	irc	        0
0011	Stock_19         	:	s	o	DIAS	   	        0
0012	NGC_7826         	-	s	o	DIAS	   	        0
0013	PTB_5            	-	 	 	BIEM	irc	        0
0014	FSR_0504         	=	 	 	FPOS	   	     2124
0015	NGC_7833         	-	s	o	DREM	ast	        0
0016	BDB_94           	=	r	c	BIEM	irc	     8551
0017	Czernik_1        	=	 	 	DIAS	   	     9551
0018	SAI_1            	=	 	 	DIAS	   	     4647
0019	ASCC_1           	=	 	 	COCD	   	    12863
0020	Berkeley_1       	=	 	 	DIAS	   	     9428
0021	King_13          	=	 	 	DIAS	   	    12641
0022	FSR_0447         	-	 	 	FPOS	   	        0
0023	Alessi_20        	=	 	 	COCD	   	    20606
0024	FSR_0474         	=	 	 	DIAS	irc	     9466
0025	FSR_0480         	=	 	 	DIAS	irc	    14364
0026	PTB_7            	=	 	 	BIEM	irc	    10204
0027	BDSB_48          	=	r	c	BOPN	irc	    10269
