#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-03-09T02:17:13 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e65a717bb13	
#INFO	-out.max=unlimited	
#INFO	queryParameters=14	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/633/A44&tab:{J/A+A/633/A44/sources}&key:source=J/A+A/633/A44/sources&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/633/A44/sources
#-order=I
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=Simbad
#Simbad=Simbad
#

#RESOURCE=yCat_36330044
#Name: J/A+A/633/A44
#Title: HARPS Young Nearby Stars - YNS (Grandjean+, 2020)
#Table	J_A_A_633_A44_sources:
#Name: J/A+A/633/A44/sources
#Title: List of targets and positions
#Column	Name	(a10)	Name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A13)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A13)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
Name	RAJ2000	DEJ2000	Simbad
 	"h:m:s"	"d:m:s"	
----------	-------------	-------------	------
HD105     	00 05 52.5449	-41 45 11.046	Simbad
HD984     	00 14 10.2530	-07 11 56.814	Simbad
HD987     	00 13 53.0105	-74 41 17.851	Simbad
HD1466    	00 18 26.1235	-63 28 38.981	Simbad
HD3221    	00 34 51.2019	-61 54 58.129	Simbad
HD6569    	01 06 26.1533	-14 17 47.106	Simbad
HD7661    	01 16 24.1951	-12 05 49.205	Simbad
HD10008   	01 37 35.4668	-06 45 37.531	Simbad
HD16765   	02 41 13.9972	-00 41 44.384	Simbad
HD17925   	02 52 32.1281	-12 46 10.970	Simbad
HD18599   	02 57 02.9515	-56 11 31.513	Simbad
HD19668   	03 09 42.2876	-09 34 46.584	Simbad
HD24916   	03 57 28.6989	-01 09 34.071	Simbad
HD25457   	04 02 36.7451	-00 16 08.118	Simbad
HD26923   	04 15 28.8004	+06 11 12.699	Simbad
HD29391   	04 37 36.1323	-02 28 24.778	Simbad
HD30447   	04 46 49.5287	-26 18 08.850	Simbad
HD35650   	05 24 30.1697	-38 58 10.746	Simbad
HD37572   	05 36 56.8530	-47 57 52.884	Simbad
HD39060   	05 47 17.0876	-51 03 59.441	Simbad
HD41593   	06 06 40.4779	+15 32 31.579	Simbad
HD43989   	06 19 08.0574	-03 26 20.358	Simbad
HD44627   	06 19 12.9129	-58 03 15.524	Simbad
HD45081   	06 18 28.2084	-72 02 41.446	Simbad
HD45270   	06 22 30.9412	-60 13 07.143	Simbad
HD59967   	07 30 42.5117	-37 20 21.704	Simbad
HD61005   	07 35 47.4624	-32 12 14.042	Simbad
HD63608   	07 46 16.9608	-59 48 34.194	Simbad
HD77825   	09 04 20.6940	-15 54 51.298	Simbad
HD82558   	09 32 25.5684	-11 11 04.687	Simbad
HD89449   	10 19 44.1668	+19 28 15.294	Simbad
HD90905   	10 29 42.2300	+01 29 28.039	Simbad
HD92945   	10 43 28.2716	-29 03 51.429	Simbad
HD95086   	10 57 03.0216	-68 40 02.446	Simbad
HD95650   	11 02 38.3419	+21 58 01.704	Simbad
HD99211   	11 24 52.9236	-17 41 02.429	Simbad
HD102458  	11 47 24.5436	-49 53 03.018	Simbad
HD103743  	11 56 43.7784	-32 16 02.692	Simbad
HD105690  	12 10 06.4713	-49 10 50.656	Simbad
HD106906  	12 17 53.1914	-55 58 31.890	Simbad
HD108767  	12 29 51.8551	-16 30 55.552	Simbad
HD116434  	13 24 36.0982	-51 30 16.046	Simbad
HD118100  	13 34 43.2063	-08 20 31.335	Simbad
HD131399  	14 54 25.3091	-34 08 34.041	Simbad
HD141943  	15 53 27.2914	-42 16 00.711	Simbad
HD146464  	16 19 15.8533	-55 30 17.044	Simbad
HD146624  	16 18 17.9001	-28 36 50.476	Simbad
HD152555  	16 54 08.1435	-04 20 24.660	Simbad
HD159492  	17 38 05.5156	-54 30 01.570	Simbad
HD164249  	18 03 03.4097	-51 38 56.434	Simbad
HD169178  	18 24 50.5676	-34 11 26.086	Simbad
HD171488  	18 34 20.1030	+18 41 24.234	Simbad
HD172555  	18 45 26.9004	-64 52 16.539	Simbad
HD174429  	18 53 05.8733	-50 10 49.901	Simbad
HD177171  	19 06 19.9556	-52 20 27.288	Simbad
HD181321  	19 21 29.7277	-34 59 00.356	Simbad
HD181327  	19 22 58.9434	-54 32 16.979	Simbad
HD183414  	19 35 09.7191	-69 58 32.098	Simbad
HD186704  	19 45 57.3402	+04 14 54.416	Simbad
HD188228  	20 00 35.5555	-72 54 37.819	Simbad
HD189245  	20 00 20.2490	-33 42 12.427	Simbad
HD191089  	20 09 05.2158	-26 13 26.520	Simbad
HD197481  	20 45 09.5323	-31 20 27.241	Simbad
HD197890  	20 47 44.9892	-36 35 40.819	Simbad
HD202917  	21 20 49.9575	-53 02 03.157	Simbad
HD206860  	21 44 31.3299	+14 46 18.982	Simbad
HD206893  	21 45 21.9056	-12 47 00.068	Simbad
HD207575  	21 52 09.7248	-62 03 08.508	Simbad
HD213845  	22 34 41.6367	-20 42 29.574	Simbad
HD215641  	22 47 09.3341	-32 40 31.643	Simbad
HD216956  	22 57 39.0462	-29 37 20.053	Simbad
HD217343  	23 00 19.2872	-26 09 13.506	Simbad
HD217987  	23 05 52.0354	-35 51 11.058	Simbad
HD218396  	23 07 28.7156	+21 08 03.302	Simbad
HD218860  	23 11 52.0535	-45 08 10.633	Simbad
HD221575  	23 33 23.8260	-12 39 52.624	Simbad
HD223340  	23 48 50.4948	-28 07 15.664	Simbad
HD224228  	23 56 10.6732	-39 03 08.409	Simbad
HIP6276   	01 20 32.2680	-11 28 03.728	Simbad
HIP116384 	23 35 00.2769	+01 36 19.433	Simbad
HIP17157  	03 40 29.3861	-47 55 30.550	Simbad
HIP23309  	05 00 47.1300	-57 15 25.453	Simbad
HIP31878  	06 39 50.0241	-61 28 41.529	Simbad
HIP36985  	07 36 07.0798	-03 06 38.791	Simbad
HIP44722  	09 06 45.3496	-08 48 24.611	Simbad
HIP46634  	09 30 34.9989	+10 35 59.822	Simbad
HIP51317  	10 28 55.5513	+00 50 27.601	Simbad
BD+20 2465	10 19 36.2808	+19 52 12.014	Simbad
CD-46 1064	03 30 49.1011	-45 55 57.364	Simbad

