#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-09-11T12:47:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d78ecc14dd2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:B/ocl&tab:{B/ocl/clusters}&key:source=B/ocl/clusters&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/ocl/clusters
#-order=I
#-out=P
#-out=Cluster
#-out=RAJ2000
#-out=DEJ2000
#-out=Class
#-out=Diam
#-out=Dist
#-out=E(B-V)
#-out=Age
#-out=pmRA
#-out=pmDE
#-out=Nc
#-out=K14
#K14=K14
#-out=RV
#-out=o_RV
#-out=[Fe/H]
#-out=o_[Fe/H]
#-out=TrType
#-out=WEBDA
#WEBDA=WEBDA
#-out=Lynga
#Lynga=Lynga
#

#RESOURCE=yCat_102022
#Name: B/ocl
#Title: Optically visible open clusters and Candidates (Dias+ 2002-2015)
#Table	B_ocl_clusters:
#Name: B/ocl/clusters
#Title: The Catalogue Data File (V3.5)
#Column	P	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A8)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Class	(A2)	Flag for classification of the cluster (G1)	[ucd=meta.code]
#Column	Diam	(F6.1)	[0.2/1400]? Angular apparent diameter	[ucd=phys.angSize]
#Column	Dist	(I5)	[25/15000]? Distance from WEBDA [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
#Column	E(B-V)	(F6.3)	[0/6]? Colour excess in BV	[ucd=phot.color.excess]
#Column	Age	(F6.3)	[6/10.1]? Age (in log t)	[ucd=time.age]
#Column	pmRA	(F7.2)	? Mean proper motion of the cluster in RA	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	? Mean proper motion of the cluster in Dec	[ucd=pos.pm;pos.eq.dec]
#Column	Nc	(I5)	[1/14341]? Estimated number of cluster members [NULL integer written as an empty string]	[ucd=meta.number]
#Column	K14	(A3)	Details from Kharchenko et al. 2014 (J/A+A/558/A53)	[ucd=meta.ref.url]
#Column	RV	(F7.2)	? Radial Velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	o_RV	(I3)	[0/537]? Number of stars used to determine RV [NULL integer written as an empty string]	[ucd=meta.number]
#Column	[Fe/H]	(F6.3)	[-1.6/0.5]? Metallicity	[ucd=phys.abund.Z]
#Column	o_[Fe/H]	(I2)	[0/60]? Number of stars used to determine [Fe/H] [NULL integer written as an empty string]	[ucd=meta.number]
#Column	TrType	(A8)	Trumpler type determined in the DSS inspection (concentration-brightness-richness-nebulosity)	[ucd=src.class]
#Column	WEBDA	(a5)	Find out what exists about this cluster in the WEBDA data-base	[ucd=meta.ref.url]
#Column	Lynga	(a5)	VizieR added column, not part of original data	[ucd=meta.ref.url]
P	Cluster	RAJ2000	DEJ2000	Class	Diam	Dist	E(B-V)	Age	pmRA	pmDE	Nc	K14	RV	o_RV	[Fe/H]	o_[Fe/H]	TrType	WEBDA	Lynga
# 	 	"h:m:s"	"d:m:s"	 	arcmin	pc	mag	[yr]	mas/yr	mas/yr	 	 	km/s	 	Sun	 	 	 	
#-	-----------------	--------	---------	--	------	-----	------	------	-------	-------	-----	---	-------	---	------	--	--------	-----	-----
P	Berkeley 58      	00 00 12	+60 58 00	  	  11.0	 2700	 0.720	 8.470	   0.56	   1.56	   88	K14	 -87.00	  1	      	  	        	WEBDA	Lynga
 	NGC 7801         	00 00 21	+50 44 30	r 	   8.0	 1275	 0.170	 9.230	  -3.56	  -2.60	   85	K14	       	   	      	  	4-3-p-* 	WEBDA	Lynga
 	FSR 0459         	00 00 39	+59 14 20	IR	   2.0	 3800	 1.103	 8.950	  -1.66	  -0.01	    8	K14	       	   	      	  	        	WEBDA	Lynga
 	Stock 18         	00 01 37	+64 37 30	  	   6.0	 1242	 0.710	 8.100	  -2.78	  -0.15	  109	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
 	Berkeley 59      	00 02 14	+67 25 00	  	  10.0	 1000	 1.241	 6.100	  -2.11	  -1.20	    2	K14	  -5.17	  3	      	  	3-3-m-n 	WEBDA	Lynga
 	Berkeley 104     	00 03 30	+63 35 00	  	   3.0	 4365	 0.450	 8.890	  -2.35	  -0.30	   76	K14	       	   	 0.070	  	4-2-p-* 	WEBDA	Lynga
P	Blanco 1         	00 04 07	-29 50 00	  	  70.0	  269	 0.010	 7.796	  20.17	   3.00	   27	K14	   5.53	 49	 0.040	 8	        	WEBDA	Lynga
 	Stock 19         	00 04 41	+56 05 00	  	   4.0	     	      	      	   1.43	  -2.04	   42	K14	       	   	      	  	2-2-p-* 	WEBDA	Lynga
 	NGC 7826         	00 05 17	-20 41 30	r 	  20.0	  620	 0.030	 9.340	   6.48	  -6.20	   39	K14	  -4.62	  1	      	  	4-2-p-* 	WEBDA	Lynga
 	Majaess 1        	00 07 22	+64 58 22	IR	   5.0	     	      	      	   4.63	   1.72	   20	K14	       	   	      	  	        	WEBDA	Lynga
 	Czernik 1        	00 07 38	+61 28 30	  	   2.5	 2530	 1.230	 6.700	  -3.83	   1.66	    5	K14	       	   	      	  	4-2-m-* 	WEBDA	Lynga
 	SAI 1            	00 08 20	+51 43 15	  	   4.0	 2170	 0.340	 9.100	   0.31	  -0.88	   35	K14	       	   	      	  	        	WEBDA	Lynga
P	Berkeley 1       	00 09 36	+60 28 30	  	   5.0	 2420	 0.780	 8.600	  -1.83	  -0.75	  135	K14	       	   	      	  	3-1-p-* 	WEBDA	Lynga
 	ASCC 1           	00 09 36	+62 40 48	  	  24.0	 4000	 0.160	 8.250	  -3.27	   1.19	 1189	K14	 -74.10	  3	      	  	        	WEBDA	Lynga
P	King 13          	00 10 06	+61 10 00	  	   5.0	 3100	 0.820	 8.500	  -4.15	  -2.46	  127	K14	       	   	      	  	2-2-m-* 	WEBDA	Lynga
 	Alessi 20        	00 10 34	+58 45 36	e 	  40.0	  600	 0.220	 6.480	   8.73	  -3.11	   17	K14	 -11.50	  1	      	  	        	WEBDA	Lynga
 	FSR 0474         	00 10 53	+59 44 50	IR	   4.6	 4638	 1.145	 8.900	  -0.41	  -0.81	   53	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0480         	00 14 55	+61 28 23	IR	   1.5	 5492	 0.937	 9.300	  -1.66	  -1.81	   24	K14	       	   	      	  	        	WEBDA	Lynga
